supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
ASDA,4.75,19.8,kg,Tassimo Cadbury Hot Chocolate Pods x 8,20240413,drinks,False
ASDA,2.0,26.7,kg,Taylors of Harrogate Hot Lava Java Coffee Bags,20240413,drinks,False
ASDA,5.0,20.8,kg,Tassimo Limited Edition Cadbury Orange Hot Chocolate Pods x8,20240413,drinks,False
ASDA,3.5,15.4,kg,ASDA Extra Special Brazilian Ground Coffee,20240413,drinks,True
ASDA,3.5,15.4,kg,ASDA Extra Special Espresso Coffee Beans,20240413,drinks,True
ASDA,3.5,15.4,kg,ASDA Extra Special Kenyan Ground Coffee,20240413,drinks,True
ASDA,3.5,15.4,kg,ASDA Extra Special Colombian Fairtrade Ground Coffee,20240413,drinks,True
ASDA,3.5,15.4,kg,ASDA Extra Special Colombian Fairtrade Coffee Beans,20240413,drinks,True
ASDA,3.5,15.4,kg,ASDA Extra Special Ethiopian Fairtrade Ground Coffee,20240413,drinks,True
ASDA,5.9,29.5,kg,Kenco Decaff Instant Coffee,20240413,drinks,False
ASDA,5.9,29.5,kg,Kenco Smooth Instant Coffee,20240413,drinks,False
ASDA,5.9,29.5,kg,Kenco Rich Instant Coffee,20240413,drinks,False
ASDA,3.7,14.8,kg,Lavazza Qualità Rossa Ground Coffee,20240413,drinks,False
ASDA,3.5,15.4,kg,ASDA Extra Special Southern Indian Roast & Ground Coffee,20240413,drinks,True
ASDA,2.95,29.5,kg,ASDA Extra Special Colombian Instant Coffee,20240413,drinks,True
ASDA,4.5,22.5,kg,Nescafe Original Instant Coffee,20240413,drinks,False
ASDA,3.75,15.0,kg,Lavazza Qualita Rossa Coffee Beans,20240413,drinks,False
ASDA,3.75,15.0,kg,Lavazza Qualità Oro Ground Coffee,20240413,drinks,False
ASDA,6.65,26.6,kg,Illy Espresso Roast Ground Coffee,20240413,drinks,False
ASDA,2.3,23.0,kg,Mellow Bird's Instant Coffee Powder,20240413,drinks,False
ASDA,3.75,15.0,kg,Lavazza Caffè Espresso Coffee Beans,20240413,drinks,False
ASDA,3.5,15.4,kg,ASDA Extra Special Javan Volcanic Island Ground Coffee,20240413,drinks,True
