supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,2.1,4.2,kg,Alpro Vanilla Yoghurt Alternative,20240413,free-from,False
Morrisons,2.1,4.2,kg,Alpro Plain No Sugars Yoghurt Alternative,20240413,free-from,False
Morrisons,2.3,2.3,l,Alpro Barista Coconut Milk,20240413,free-from,False
Morrisons,3.25,8.13,kg,Morrisons The Best Thick Pork Sausages,20240413,free-from,True
Morrisons,3.25,8.67,kg,Morrisons The Best Pork Chipolatas 12 Pack,20240413,free-from,True
Morrisons,3.25,8.13,kg,Morrisons The Best Thick Cumberland Sausages,20240413,free-from,True
Morrisons,1.75,3.5,kg,Vitalite Dairy Free Spread,20240413,free-from,False
Morrisons,1.75,3.5,kg,Alpro Blueberry & Cherry Yoghurt Alternative,20240413,free-from,False
Morrisons,3.25,8.13,kg,Morrisons The Best Thick Old English Sausages,20240413,free-from,True
Morrisons,1.75,3.5,kg,Alpro Strawberry-Banana & Peach-P…,20240413,free-from,False
Morrisons,3.25,8.13,kg,Morrisons The Best Thick Pork…,20240413,free-from,True
Morrisons,3.25,8.13,kg,Morrisons The Best Thick Lincolnshire Sausages,20240413,free-from,True
Morrisons,2.5,8.3,l,"Twister Mini Pineapple,Lemon-Lime…",20240413,free-from,False
Morrisons,1.25,0.21,unit,Mrs Crimble's Gluten Free 6 Big…,20240413,free-from,False
Morrisons,3.25,8.67,kg,Morrisons The Best Cumberland Chi…,20240413,free-from,True
Morrisons,3.5,8.8,kg,Warburtons Gluten Free Tiger Bloomer,20240413,free-from,False
Morrisons,3.0,4.0,l,Swedish Glace Dairy Free Smooth V…,20240413,free-from,False
Morrisons,2.5,6.2,l,Calippo Mini Orange & Lime Ice Lollies,20240413,free-from,False
Morrisons,1.69,8.4,kg,Morrisons Free From Chocola…,20240413,free-from,True
Morrisons,2.5,6.2,l,Calippo Cola Ice Lollies,20240413,free-from,False
Morrisons,1.5,17.6,kg,Properchips Barbecue Lentil Chips,20240413,free-from,False
Morrisons,2.0,10.0,kg,Arla Lactofree Mature Cheddar Grated Cheese,20240413,free-from,False
Morrisons,1.75,4.0,kg,Alpro Peach And Exotic Fruit Yoghurt Alternative,20240413,free-from,False
Morrisons,1.9,27.1,kg,Properchips BBQ Lentil Chips,20240413,free-from,False
Morrisons,1.69,11.3,kg,Morrisons Free From Double Chocolate Cookies,20240413,free-from,True
Morrisons,1.35,15.9,kg,Popworks Sweet & Salty Sharing Popped Crisps,20240413,free-from,False
