supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Sains,6.0,0.2,unit,Bassetts Vitamins Omega-3 & Multivits 3-6 Soft & Chewies x30,20240413,baby_products,False
Sains,2.35,11.75,kg,Annabel Karmel Chicken & Potato Pie Toddler Meal 200g 12 Month+,20240413,baby_products,False
Sains,2.35,11.75,kg,Annabel Karmel Beef Cottage Pie Toddler Meal 200g 12 Month+,20240413,baby_products,False
Sains,2.15,6.3,kg,Yeo Valley Organic Little Yeos 4x85g,20240413,baby_products,False
Sains,0.75,7.5,kg,The Collective Suckies Strawberry Kids Yoghurt Pouch 90g,20240413,baby_products,False
Sains,1.0,13.3,l,Colgate Cavity Protection Toothpaste 75ml,20240413,baby_products,False
Sains,0.75,8.4,kg,The Collective Suckies Peach + Apricot Kids Yoghurt Pouch 90g,20240413,baby_products,False
Sains,0.65,0.01,unit,Little Ones Sensitive Baby Wipes x60,20240413,baby_products,False
Sains,0.65,0.01,unit,Little Ones Fragranced Baby Wipes x60,20240413,baby_products,False
Sains,5.0,3.49,l,Persil Laundry Washing Liquid Detergent Non Bio 53 Washes 1.539L,20240413,baby_products,False
Sains,4.0,1.61,l,Comfort Fabric Conditioner Pure 83 Washes 2490ml,20240413,baby_products,False
Sains,0.75,8.4,kg,The Collective Suckies Banana Kids Yoghurt Pouch 90g,20240413,baby_products,False
Sains,3.5,0.02,unit,"Huggies Pure Sensitive Newborn Wet Baby Wipes, 99% Water - 4 Pack (4 x 56 Wipes)",20240413,baby_products,False
Sains,0.82,0.01,unit,Sainsbury's Little Ones 150 Tie Handle Nappy Sacks,20240413,baby_products,True
Sains,0.95,0.02,unit,"Huggies Pure Sensitive Newborn Wet Baby Wipes, 99% Water - 1 Pack (56 Wipes)",20240413,baby_products,False
Sains,4.0,53.3,l,Oral-B Pro Expert Professional Protection Clean Mint Toothpaste 75ml,20240413,baby_products,False
Sains,0.59,0.01,unit,Sainsbury's Little Ones Sensitive Botty Wipes x60,20240413,baby_products,True
Sains,1.2,6.0,l,Aptamil 1 First Baby Milk Formula From Birth 200ml,20240413,baby_products,False
Sains,1.05,5.25,l,Aptamil 3 Growing Up Milk Ready to Feed 1+ Years Liquid 200ml,20240413,baby_products,False
Sains,1.5,5.6,kg,"Yeo Valley Organic Little Yeos, Strawberry & Raspberry Fromage Frais 6x45g",20240413,baby_products,False
Sains,1.1,5.5,l,HiPP Organic 1 First Infant Baby Milk Ready To Feed Liquid Formula From Birth 200ml,20240413,baby_products,False
Sains,1.3,0.01,unit,Johnson's Baby Cotton Buds x200,20240413,baby_products,False
Sains,0.75,8.4,kg,The Collective Suckies Raspberry Kids Yoghurt Pouch 90g,20240413,baby_products,False
Sains,5.0,5.95,l,Fairy Non Bio Washing Liquid Gel 888ml (24 Washes),20240413,baby_products,False
Sains,0.8,133.3,kg,Kiddylicious Strawberry & Banana Smoothie Melts Snack 6g 12 Months+,20240413,baby_products,False
