supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,year,month,day,dayofweek
Aldi,3.09,0.14,unit,Mamia Ultra-fit Peppa Pig Nappy Pants 22 Pack/Size 6,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,3.09,0.17,unit,Mamia Ultra-fit Peppa Pig Nappy Pants 18 Pack/Size 7,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,3.59,0.09,unit,Mamia Ultra-fit Nappy Pants 40 Pack/Size 4,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,4.79,0.32,unit,Mamia Boy's Night Pants 15 Pack,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,4.79,0.32,unit,Mamia Girl's Night Pants 15 Pack,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.85,0.04,unit,Mamia Newborn Nappies 24 Pack/Size 1 2-5kg/4-11lbs,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.79,0.13,unit,Mamia Nappies Ultra Dry Air System 22 Pack/Size 7 (XXL),1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.89,0.05,unit,Mamia Newborn Nappies 56 Pack/Size 3 Midi 4-9kg/9-20lbs,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.25,0.04,unit,Mamia Newborn Nappies 60 Pack/Size 2 Mini 3-6kg/6-13lbs,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,3.59,0.13,unit,Mamia Ultra-fit Nappy Pants 28 Pack/Size 7,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.65,0.01,unit,Mamia Fragranced Baby Wipes 60 Pack,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.69,0.01,unit,Mamia Extra Sensitive Baby Wipes 60 Pack,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.65,0.01,unit,Mamia Sensitive Baby Wipes 60 Pack,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.89,0.06,unit,Mamia Ultra-fit Maxi Nappies 48 Pack/Size 4,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.89,0.1,unit,Mamia Ultra-fit XL Nappies 30 Pack/Size 6,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,4.99,0.06,unit,Mamia Ultra-fit Nappies - Jumbo Pack 78 Pack/Size 4+,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,4.99,0.06,unit,Mamia Ultra-fit Nappies - Jumbo Pack 84 Pack/Size 4,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
